Azure Managed Disk SKUs per region,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,offer,global,sweden-central,europe-west,europe-north,germany-west-central
,,,burstable-enablement,,AAF-83822,AAF-83725,AAF-83729,AAF-83740
,,,burstable-transaction,,AAF-83799,AAF-83756,AAF-83755,AAF-83817
,,,transactions-hdd,,N9H-01263,N9H-01263,N9H-01263,N9H-01263
,,,transactions-ssd,,AAD-26003,AAD-26003,AAD-26003,AAD-26003
,,,premiumssd-snapshot,,AAF-82114,N9H-00420,N9H-00422,AAD-80294
,,,premiumssd-v2-snapshot,,AAF-81811,N9H-00969,N9H-00968,AAD-80334
,,,premiumssd-p1-lrs,,AAF-81793,AAF-75936,AAF-75897,AAF-75816
,,,premiumssd-p1-lrs-disk-mount,,AAF-82798,AAF-82522,AAF-82552,AAF-83177
,,,premiumssd-p1-zrs,,,AAF-82007,AAF-82077,
,,,premiumssd-p1-zrs-disk-mount,,AAF-82798,AAF-82522,AAF-82552,AAF-83177
,,,premiumssd-p2-lrs,,AAF-81946,AAF-75833,AAF-75957,AAF-75731
,,,premiumssd-p2-lrs-disk-mount,,AAF-83032,AAF-83194,AAF-82758,AAF-82684
,,,premiumssd-p2-zrs,,,AAF-82248,AAF-82199,
,,,premiumssd-p2-zrs-disk-mount,,AAF-83032,AAF-83194,AAF-82758,AAF-82684
,,,premiumssd-p3-lrs,,AAF-82194,AAF-75776,AAF-75973,AAF-75793
,,,premiumssd-p3-lrs-disk-mount,,AAF-82577,AAF-83271,AAF-83004,AAF-83228
,,,premiumssd-p3-zrs,,,AAF-81749,AAF-82269,
,,,premiumssd-p3-zrs-disk-mount,,AAF-82577,AAF-83271,AAF-83004,AAF-83228
,,,premiumssd-p4-lrs,,AAF-81936,AAD-18212,AAD-18167,AAD-80317
,,,premiumssd-p4-lrs-disk-mount,,AAF-82989,AAF-83423,AAF-83088,AAF-83306
,,,premiumssd-p4-zrs,,,AAF-82093,AAF-81657,
,,,premiumssd-p4-zrs-disk-mount,,AAF-82989,AAF-83423,AAF-83088,AAF-83306
,,,premiumssd-p6-lrs,,AAF-81689,AAD-18192,AAD-18180,AAD-80325
,,,premiumssd-p6-lrs-disk-mount,,AAF-82691,AAF-83470,AAF-83114,AAF-83178
,,,premiumssd-p6-zrs,,,AAF-82013,AAF-81935,
,,,premiumssd-p6-zrs-disk-mount,,AAF-82691,AAF-83470,AAF-83114,AAF-83178
,,,premiumssd-p10-lrs,,AAF-82319,AAD-18125,AAD-18188,AAD-80314
,,,premiumssd-p10-lrs-disk-mount,,AAF-83309,AAF-83051,AAF-83161,AAF-82580
,,,premiumssd-p10-zrs,,,AAF-81703,AAF-81791,
,,,premiumssd-p10-zrs-disk-mount,,AAF-83309,AAF-83051,AAF-83161,AAF-82580
,,,premiumssd-p15-lrs,,AAF-82229,AAD-18274,AAD-18292,AAD-80324
,,,premiumssd-p15-lrs-disk-mount,,AAF-81771,AAF-77863,AAF-77737,AAF-78290
,,,premiumssd-p15-zrs,,,AAF-82152,AAF-82417,
,,,premiumssd-p15-zrs-disk-mount,,AAF-81771,AAF-77863,AAF-77737,AAF-78290
,,,premiumssd-p20-lrs,,AAF-81755,AAD-18161,AAD-18151,AAD-80322
,,,premiumssd-p20-lrs-disk-mount,,AAF-82371,AAF-77757,AAF-77703,AAF-78323
,,,premiumssd-p20-zrs,,,AAF-82274,AAF-81709,
,,,premiumssd-p20-zrs-disk-mount,,AAF-82371,AAF-77757,AAF-77703,AAF-78323
,,,premiumssd-p30-lrs,,AAF-81631,AAD-18194,AAD-18124,AAD-80323
,,,premiumssd-p30-lrs-disk-mount,,AAF-81875,AAF-77666,AAF-77646,AAF-78296
,,,premiumssd-p30-lrs-one-year,,,,,
,,,premiumssd-p30-zrs,,,AAF-81856,AAF-82032,
,,,premiumssd-p30-zrs-disk-mount,,AAF-81875,AAF-77666,AAF-77646,AAF-78296
,,,premiumssd-p40-lrs,,AAF-81667,AAD-18250,AAD-18238,AAD-80319
,,,premiumssd-p40-lrs-disk-mount,,AAF-81624,AAF-77880,AAF-77714,AAF-78350
,,,premiumssd-p40-lrs-one-year,,,,,
,,,premiumssd-p40-zrs,,,AAF-82064,AAF-82212,
,,,premiumssd-p40-zrs-disk-mount,,AAF-81624,AAF-77880,AAF-77714,AAF-78350
,,,premiumssd-p50-lrs,,AAF-81619,AAD-18265,AAD-18251,AAD-80321
,,,premiumssd-p50-lrs-disk-mount,,AAF-82136,AAF-77887,AAF-77773,AAF-78325
,,,premiumssd-p50-lrs-one-year,,,,,
,,,premiumssd-p50-zrs,,,AAF-82027,AAF-82239,
,,,premiumssd-p50-zrs-disk-mount,,AAF-82136,AAF-77887,AAF-77773,AAF-78325
,,,premiumssd-p60-lrs,,AAF-82249,AAD-55875,AAD-55885,AAF-77006
,,,premiumssd-p60-lrs-disk-mount,,AAF-81611,AAF-77643,AAF-77642,AAF-78285
,,,premiumssd-p60-lrs-one-year,,,,,
,,,premiumssd-p60-zrs,,,AAF-82045,AAF-81955,
,,,premiumssd-p60-zrs-disk-mount,,AAF-81611,AAF-77643,AAF-77642,AAF-78285
,,,premiumssd-p70-lrs,,AAF-81649,AAD-55897,AAD-55884,AAF-77010
,,,premiumssd-p70-lrs-disk-mount,,AAF-81579,AAF-77724,AAF-77733,AAF-78284
,,,premiumssd-p70-lrs-one-year,,,,,
,,,premiumssd-p70-zrs,,,AAF-82153,AAF-81917,
,,,premiumssd-p70-zrs-disk-mount,,AAF-81579,AAF-77724,AAF-77733,AAF-78284
,,,premiumssd-p80-lrs,,AAF-81597,AAD-55898,AAD-55887,AAF-77000
,,,premiumssd-p80-lrs-disk-mount,,AAF-81845,AAF-77849,AAF-77743,AAF-78282
,,,premiumssd-p80-lrs-one-year,,,,,
,,,premiumssd-p80-zrs,,,AAF-81696,AAF-82374,
,,,premiumssd-p80-zrs-disk-mount,,AAF-81845,AAF-77849,AAF-77743,AAF-78282
,,,premiumssdv2-capacity,,AAN-35308,AAM-85023,AAN-32389,AAN-34772
