"vm","sweden-central","europe-west","europe-north","germany-west-central","france-central"
"windows-b8ms-standard","0,378","0,416","0,397","0,416","0,41"
"linux-d8v5-standard","0,408","0,46","0,428","0,46","0,448"
"sql-server-redhat-web-64-core","","","","",""
"windows-e8-4adsv5-standard","0,924","1,0","0,952","1,0","0,98"
"linux-d8adsv5-standard","0,44","0,5","0,46","0,5","0,484"
"windows-m176bds4v3-standard","96,063215","89,78","83,49","",""
"windows-m832ds12v3-standard","","208,6003","197,247954","208,6",""
"windows-d4adsv6-standard","0,428","0,46","0,439","0,46","0,452"
"windows-e8-2adsv5-standard","0,924","1,0","0,952","1,0","0,98"
"windows-e4adsv6-standard","0,494","0,535","0,508","0,535","0,525"
"windows-e48asv5-standard","5,112","5,496","5,256","5,496","5,4"
"biztalk-server-enterprise-32-core","","","","",""
"windows-e4bsv5-standard","0,503","0,54","0,52","0,54","0,537"
"windows-ds12-1-v2-standard","0,529","0,557","0,486","0,557","0,615"
"windows-e20dv5-standard","2,44","2,65","2,52","2,65","2,61"
"sql-server-ubuntu-pro-developer-60-core","","","","",""
"biztalk-server-enterprise-12-core","","","","",""
"linux-ds2v2-standard","0,136","0,136","0,132","0,133","0,175"
"windows-d8adsv5-standard","0,808","0,868","0,828","0,868","0,852"
"linux-f64amsv6-standard","6,125","6,925","6,394","6,925","6,726"
"windows-dc8asv5-standard","","0,784","0,752","0,784",""
"linux-m32-16ms-standard","8,604","8,6044","7,3752","8,604","7,744"
"windows-subscription-6-pack","","","","",""
"windows-e8v3-standard","0,904","1,008","0,932","0,976","0,992"
"sql-server-ubuntu-pro-developer-40-core","","","","",""
"sql-server-ubuntu-pro-enterprise-48-core","","","","",""
"windows-d8dsv4-standard","0,848","0,912","0,872","0,912","0,896"
"oracle-java-64-core","","","","",""
"windows-d2dv5-standard","0,212","0,228","0,218","0,228","0,224"
"linux-e16-8s-v4-standard","1,072","1,216","1,128","1,216","1,184"
"windows-d48asv6-standard","4,536","4,843","4,637","4,843","4,766"
"linux-e20asv6-standard","1,276","1,442","1,33","1,442","1,4"
"sql-server-redhat-web-44-core","","","","",""
"linux-e64psv6-standard","3,142","3,526","3,296","3,526","3,45"
"windows-e2bdsv5-standard","0,27","0,291","0,279","0,291","0,29"
"windows-dc8dsv3-standard","","1,456","1,376","0,912",""
