offer,global,sweden-central,europe-west,europe-north,germany-west-central
ubuntu-advantage-standard,AAA-55407,,,,
sles-standard-12-core,AAA-16295,,,,
windows-e2av4-standard,,AAM-85157,AAD-97851,AAD-97947,
sql-server-ubuntu-pro-standard-44-core,AAJ-62470,,,,
sql-server-sles-web-72-core,AAA-68407,,,,
windows-dc48dsv3-standard,,,AAL-23817,AAL-23932,
sles-standard-208-core,AAA-16295,,,,
windows-d8asv4-standard,,AAM-88089,AAD-97732,AAD-97791,
linux-m16ms-standard,,AAJ-73973,AAD-14914,AAD-14912,AAD-83484
linux-nc6sv2-standard,,,AAA-94557,,
windows-d8sv3-standard,,AAJ-66859,AAA-45173,AAA-45168,AAD-83032
windows-e4-2asv5-standard,,AAM-76578,AAL-81511,AAM-32199,AAL-93837
sql-server-linux-enterprise-4-core,AAA-68254,,,,
linux-e64-32adsv5-standard,,AAM-75408,AAM-38615,AAM-38758,AAM-41282
linux-d4pldsv5-standard,,AAN-75613,AAM-73293,AAM-59072,AAM-73438
windows-e16adsv5-standard,,AAM-76651,AAM-41457,AAM-39055,AAM-42369
linux-e16-4dsv5-standard,,AAN-05124,AAL-01034,AAJ-93384,AAL-05377
linux-e16-8asv5-standard,,AAM-76779,AAL-94393,AAM-29925,AAM-27993
sql-server-ubuntu-pro-web-64-core,AAJ-62237,,,,
sql-server-sles-enterprise-192-core,AAF-32578,,,,
linux-a4v2-standard,,AAJ-67254,AAA-33336,AAA-33322,AAD-82935
rhel-sap-business-24-core,AAA-38589,,,,
windows-e2adsv5-standard,,AAM-75612,AAM-38997,AAM-42762,AAM-40786
windows-d2v3-standard,,AAJ-66959,AAA-44939,AAA-44934,AAD-83047
sql-server-ubuntu-pro-standard-32-core,AAJ-62438,,,,
linux-d48pdsv5-standard,,AAN-75631,AAM-73647,AAM-59829,AAM-73152
sles-basic-1-core,AAA-16306,,,,
linux-e48dv4-standard,,AAL-47037,AAF-39985,AAF-40644,AAF-45440
windows-d1v2-standard,,AAJ-67139,997-03284,997-03280,AAD-83029
windows-nd12s-standard,,,AAA-94553,,
linux-d1s-standard,,,997-01900,997-01898,
rhel-sap-business-60-core,AAD-35683,,,,
linux-e4asv5-standard,,AAM-75253,AAL-80222,AAM-29219,AAM-29426
windows-b16sv2-standard,,,,,
linux-d64psv5-standard,,AAN-75755,AAM-74267,AAL-43918,AAM-74478
sql-server-sles-web-120-core,AAD-90331,,,,
windows-d32lsv5-standard,,AAN-36073,AAN-36091,AAN-37132,AAN-38057
linux-m64msv2-standard,,AAJ-73671,AAH-59556,AAH-59465,AAH-58922
linux-nc24sv2-standard,,,AAA-94555,,
windows-m96s2v3-standard,,,,,
sql-server-sles-standard-32-core,AAA-68450,,,,
rhel-sap-business-40-core,AAA-54538,,,,
sql-server-enterprise-44-core,AAD-38589,,,,
windows-d2v5-standard,,AAM-31134,AAL-93754,AAL-94019,AAL-93750
sles-hpc-standard-20-core,AAA-16298,,,,
oracle-java-192-core,AAA-16481,,,,
sql-server-redhat-standard-48-core,AAD-46464,,,,
windows-nc32adsv4-standard,,,AAL-43204,,
windows-d8ldsv5-standard,,AAN-32909,AAN-33698,AAN-33350,AAN-33887
redhat-12-core,AAA-19526,,,,
linux-e4pdsv5-standard,,AAN-75775,AAM-73286,AAL-43645,AAM-73574
linux-sap384xm-standard,,,,,
sql-server-standard-24-core,AAA-19535,,,,
windows-g1-standard,,,N7H-04833,,
sql-server-linux-standard-12-core,AAA-68264,,,,
sql-server-linux-enterprise-20-core,AAA-68259,,,,
windows-e16bsv5-standard,,AAL-26117,AAL-27388,AAL-29418,AAL-39646
windows-hc44-32rs-standard,,,AAJ-37593,AAJ-46822,
linux-hb120-96rs-v3-standard,,,AAH-59540,,
windows-e16sv5-standard,,AAN-05534,AAL-05901,AAJ-93721,AAJ-94133
linux-e80isv4-standard,,AAL-47132,AAG-50300,AAG-50073,AAG-50223
linux-e48bdsv5-standard,,AAL-26561,AAL-27425,AAL-26031,AAL-40081
linux-l8asv3-standard,,AAL-42303,AAL-42399,AAL-42328,
sql-server-sles-web-104-core,AAJ-74247,,,,
rhel-ha-20-core,AAD-19913,,,,
sql-server-ubuntu-pro-standard-48-core,AAJ-62521,,,,
linux-e16v4-standard,,AAL-47230,AAF-55544,AAF-55799,AAF-45665
windows-hb120-64rs-v2-standard,,,AAD-89966,,
linux-d4v3-standard,,AAJ-66932,AAA-45007,AAA-45013,AAD-83014
linux-e64-16asv5-standard,,AAM-75952,AAM-30070,AAM-28247,AAM-27708
windows-m32msv2-standard,,AAJ-73678,AAH-59124,AAH-59690,AAH-58964
windows-e64-32adsv5-standard,,AAM-76919,AAM-41840,AAM-38877,AAM-40407
linux-d2s-standard,,,997-01272,997-01270,
ubuntu-advantage-standard-prepay,AAA-55406,,,,
sql-server-linux-web-32-core,AAA-68234,,,,
linux-dc1sv3-standard,,,AAL-23292,AAL-23497,
sql-server-sles-enterprise-416-core,AAD-46079,,,,
windows-nd96amsr-standard,,,AAJ-89772,,
windows-e32bdsv5-standard,,AAL-26412,AAL-27277,AAL-27342,AAL-39022
sql-server-redhat-enterprise-192-core,AAF-33754,,,,
linux-b4alsv2-standard,,AAP-03988,AAP-07056,AAP-04572,AAP-07893
windows-d2sv4-standard,,AAL-46696,AAF-53650,AAG-38611,AAF-45620
windows-ds12v2-standard,,AAJ-67236,997-03410,997-03396,AAD-83034
windows-hb120-16rs-v2-standard,,,AAD-89966,,
sql-server-ubuntu-pro-web-16-core,AAJ-66556,,,,
sql-server-standard-16-core,N7H-07133,,,,
windows-dc32adsv5-standard,,,AAM-61803,AAM-61750,AAN-89371
linux-d64dsv4-standard,,AAL-47180,AAF-38109,AAF-38738,AAF-45106
sql-server-redhat-standard-104-core,AAL-45819,,,,
linux-m32ls-standard,,AAJ-73925,AAD-15900,AAD-15883,AAD-83480
linux-d48dv5-standard,,AAM-35125,AAM-35159,AAM-35579,AAM-35581
linux-e32-16asv5-standard,,AAM-75619,AAM-31629,AAM-32064,AAL-95026
sql-server-ubuntu-pro-web-416-core,AAJ-62296,,,,
windows-e32asv5-standard,,AAM-75159,AAL-51422,AAM-29390,AAL-51521
ubuntu-pro-1-core,AAN-88835,,,,
sql-server-redhat-web-104-core,AAL-45769,,,,
linux-e2sv4-standard,,AAL-46889,AAF-53251,AAG-37661,AAF-45651
oracle-java-80-core,AAD-46492,,,,
linux-dc4sv3-standard,,,AAL-23364,AAL-23633,
linux-e48v4-standard,,AAL-46970,AAF-55563,AAG-38385,AAF-45333
windows-d16v3-standard,,AAJ-67014,AAA-45089,AAA-45101,AAD-83018
windows-e96dv5-standard,,AAM-40227,AAM-41786,AAM-40746,AAM-39593
biztalk-server-enterprise-4-core,N7H-06275,,,,
windows-e80idsv4-standard,,AAL-47241,AAG-50051,AAG-50076,AAG-40281
linux-d8v5-standard,,AAL-80170,AAM-29602,AAM-28427,AAM-29121
linux-nd24rs-standard,,,AAA-94552,,
linux-b32alsv2-standard,,AAP-03053,AAP-09490,AAP-07070,AAP-07090
windows-f1-standard,,AAJ-67082,AAA-14005,AAA-13995,AAD-83281
windows-gs3-standard,,,N7H-04884,,
windows-nc16ast4v3-standard,,,AAG-44460,AAH-56103,AAJ-67958
windows-d16dv4-standard,,AAL-47308,AAF-40458,AAF-40687,AAF-44428
sql-server-redhat-standard-44-core,AAD-38586,,,,
windows-b2atsv2-standard,,AAP-04793,AAP-08407,AAP-04076,AAP-08827
linux-d64asv4-standard,,AAM-87634,AAD-98096,AAD-98089,
redhat-16-core,AAA-19526,,,,
sles-basic-104-core,AAA-16305,,,,
sql-server-ubuntu-pro-web-120-core,AAJ-62492,,,,
linux-m208msv2-standard,,AAJ-73798,AAD-46144,AAD-46128,AAF-44015
windows-nd96asr-standard,,,AAJ-68067,,
windows-e4sv3-standard,,AAJ-66912,AAA-45323,AAA-45335,AAD-83165
linux-e2v3-standard,,AAJ-67023,AAA-45258,AAA-45253,AAD-83169
linux-m8ms-standard,,AAJ-73942,AAD-15398,AAD-15392,AAD-83479
windows-dc8adsv5-standard,,,AAM-61908,AAM-61886,AAN-89182
linux-sap576m-standard,,,,,
linux-l16s-standard,,,AAA-20306,,
windows-l8asv3-standard,,AAL-42612,AAL-42673,AAL-42785,
linux-e20dv5-standard,,AAM-39790,AAM-37669,AAM-40341,AAM-41048
windows-e32adsv5-standard,,AAM-75461,AAM-40228,AAM-41510,AAM-42522
linux-d32dsv5-standard,,AAM-33122,AAM-32683,AAM-33756,AAM-34040
linux-e16pdsv5-standard,,AAN-75647,AAM-73014,AAL-43698,AAM-72909
linux-e96-48sv5-standard,,AAN-05073,AAJ-90743,AAL-07143,AAL-01161
linux-m24sv3-standard,,,,,
windows-d4asv5-standard,,AAL-95291,AAM-32360,AAL-51482,AAM-28932
windows-d48av4-standard,,AAM-87644,AAD-98051,AAD-98036,
linux-h16m-standard,,,AAA-18527,AAA-18539,
sles-hpc-standard-32-core,AAA-16298,,,,
windows-fx48mds-standard,,,AAJ-72857,AAN-82877,
windows-e20v3-standard,,AAJ-66907,AAD-18836,AAD-18826,AAD-83168
biztalk-server-enterprise-208-core,AAD-46063,,,,
windows-m16ms-standard,,AAJ-73922,AAD-14924,AAD-14921,AAD-83501
windows-e2sv5-standard,,AAN-05460,AAL-06984,AAL-07025,AAJ-93382
linux-dc24sv3-standard,,,AAL-23565,AAL-23584,
windows-e16-8asv5-standard,,AAM-77067,AAL-81254,AAM-28634,AAL-94709
linux-d11s-standard,,,997-00316,997-00314,
windows-ri-128-core,AAA-70517,,,,
linux-e8-4adsv5-standard,,AAM-75963,AAM-42463,AAM-40367,AAM-39686
linux-a3-standard,,,N7H-02455,N7H-02453,
linux-sap448m-standard,,,,,
linux-d2dsv4-standard,,AAL-47218,AAF-35009,AAF-37925,AAF-46211
